0 0 0
1 1 0
2 1.41901 0.00410667
3 1.73055 0.00580588
4 2.001 0.00706046
5 2.23866 0.00815278
6 2.46077 0.00923973
7 2.66289 0.0101402
8 2.84682 0.0109399
9 3.01606 0.0116565
10 3.17411 0.0125111
11 3.32316 0.0131042
12 3.46877 0.0136284
13 3.6127 0.0141545
14 3.76053 0.0147867
15 3.89035 0.0153771
16 4.02361 0.0159746
17 4.14483 0.016451
18 4.26718 0.0168335
19 4.38746 0.0174121
20 4.49911 0.0178455
21 4.60897 0.0183529
22 4.71481 0.0188462
23 4.82321 0.0194206
24 4.92532 0.0198358
25 5.03063 0.020299
26 5.13174 0.0207621
27 5.21908 0.0211752
28 5.31059 0.0215825
29 5.40472 0.0218929
30 5.49511 0.0223097
31 5.57989 0.0225739
32 5.66893 0.0229417
33 5.7547 0.0232144
34 5.84584 0.0236519
35 5.92873 0.0239488
36 6.0034 0.024217
37 6.08559 0.0245638
38 6.16681 0.0249139
39 6.25018 0.0252544
40 6.33064 0.0256148
41 6.41147 0.0260565
42 6.49504 0.0262841
43 6.57422 0.0267554
44 6.66113 0.0270305
45 6.73183 0.0272629
46 6.81108 0.0275693
47 6.88812 0.0277436
48 6.95836 0.027933
49 7.03353 0.0282332
50 7.10203 0.0284495
51 7.17206 0.0288083
52 7.24037 0.0290798
53 7.30704 0.0293069
54 7.37337 0.0295073
55 7.44237 0.0297787
56 7.50389 0.0300383
57 7.56777 0.0302702
58 7.63432 0.0303806
59 7.6989 0.030689
60 7.7745 0.0310516
61 7.8405 0.0313117
62 7.90722 0.0316965
63 7.96628 0.0319213
64 8.03309 0.0322675
65 8.09235 0.0325091
66 8.15738 0.0326693
67 8.22095 0.0328474
68 8.26618 0.0328993
69 8.33239 0.0333217
70 8.38674 0.0335923
71 8.43949 0.0338339
72 8.50767 0.0341698
73 8.57194 0.0345463
74 8.64577 0.0348188
75 8.70129 0.0351215
76 8.74748 0.0352154
77 8.8039 0.0354537
78 8.8596 0.0356722
79 8.91434 0.0359039
80 8.95954 0.0361121
81 9.00592 0.036136
82 9.06116 0.0363751
83 9.12076 0.0365391
84 9.17393 0.036731
85 9.23189 0.036983
86 9.29239 0.0373531
87 9.33739 0.0376572
88 9.39135 0.0379362
89 9.44681 0.0382196
90 9.49762 0.038398
91 9.55351 0.038734
92 9.60431 0.0389227
93 9.66038 0.039223
94 9.70509 0.0393172
95 9.75058 0.0394577
96 9.80503 0.0396597
97 9.84682 0.039771
98 9.89794 0.0398972
99 9.9629 0.0401236
